"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"3.13","Symmetry, foci and directrices for standard parabolas","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86377","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Symmetry, foci and directrices for standard parabolas
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86377/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">49 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.14","Scaling and translating quadratic functions","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86378","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Scaling and translating quadratic functions
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86378/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">63 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.15","Galileo's ball","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86390","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Galileo's ball
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86390/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">36 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.16","A cannonball's trajectory","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86391","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    A cannonball's trajectory
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86391/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">17 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.17","Parabolas and motion","Quiz","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/95671","[]"
"3.18","Conic sections and quadratic relations","Test","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/95690","[]"
"3.19","Summary and discussion of conic sections and quadratic relations","Discussion","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/90508","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Summary and discussion of conic sections and quadratic relations
                    
                  </h1>
                </div>
                ]"
"4.1","Zeroes, completing the square, and the quadratic formula I","Video","06:22",382,"Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86380","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317720/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317720/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"4.2","Factors of quadratic polynomials and zeroes","Article","","","Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86381","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Factors of quadratic polynomials and zeroes
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86381/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">76 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"4.3","Zeroes, completing the square, and the quadratic formula II","Video","06:38",398,"Week 4","2016-07-18","18 Jul","Week 4: Quadratic functions in algebra and design","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86382","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317769/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317769/download/hd"">HD</a>
                  </div>
                </div>
                ]"
