"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"2.13","Zipf's law and Mobius transformations summary","Discussion","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86540","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Zipf's law and Mobius transformations summary
                    
                  </h1>
                </div>
                ]"
"2.14","Zipf's law and Mobius transformations","Test","","","Week 2","2016-08-29","29 Aug","Week 2: Zipf's law and Mobius transformations","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86541","[]"
"3.1","Power laws, polynomials and why big animals live longer","Video","01:58",118,"Week 3","2016-09-05","5 Sep","Week 3: Cubics, polynomials and power laws","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86542","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5318173/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5318173/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"3.2","Cubic curves I: historical aspects","Video","05:09",309,"Week 3","2016-09-05","5 Sep","Week 3: Cubics, polynomials and power laws","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86543","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5318205/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5318205/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"3.3","Cubic curves II: cubic functions and their graphs","Video","03:15",195,"Week 3","2016-09-05","5 Sep","Week 3: Cubics, polynomials and power laws","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86544","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5318193/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5318193/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"3.4","Fermat and Diophantine equations","Article","","","Week 3","2016-09-05","5 Sep","Week 3: Cubics, polynomials and power laws","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86545","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Fermat and Diophantine equations
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86545/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">49 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.5","Cubic polynomials and their roots","Article","","","Week 3","2016-09-05","5 Sep","Week 3: Cubics, polynomials and power laws","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86546","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Cubic polynomials and their roots
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86546/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">19 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.6","Powers of x and higher polynomials","Article","","","Week 3","2016-09-05","5 Sep","Week 3: Cubics, polynomials and power laws","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86547","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Powers of x and higher polynomials
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86547/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">36 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.7","Multiplication of points on conics and cubics (an advanced topic)","Article","","","Week 3","2016-09-05","5 Sep","Week 3: Cubics, polynomials and power laws","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86548","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Multiplication of points on conics and cubics (an advanced topic)
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-power-laws/1/steps/86548/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">51 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.8","Cubic curves and higher polynomials","Quiz","","","Week 3","2016-09-05","5 Sep","Week 3: Cubics, polynomials and power laws","https://www.futurelearn.com/courses/maths-power-laws/1/steps/86549","[]"
