learner_id,enrolled_at,unenrolled_at,role,fully_participated_at,purchased_statement_at,gender,country,age_range,highest_education_level,employment_status,employment_area,detected_country
7e373ae8-0e20-4945-811c-9fc17f763791,2017-03-29 10:29:07 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
ce797f8c-2d8f-448c-b6c8-003e6a595cd6,2017-05-08 04:45:57 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PH
7eb50106-0ca0-4943-9e6e-23de3ac28e96,2017-02-14 10:07:56 UTC,,learner,,,male,AU,36-45,university_degree,working_full_time,engineering_and_manufacturing,AU
510b61bb-7689-4e6d-9d71-d20dfdd8ef11,2017-03-12 15:19:12 UTC,,learner,,,male,BD,26-35,university_degree,working_part_time,engineering_and_manufacturing,BD
e660b112-16da-41f4-9544-efd29c309a26,2017-01-30 15:13:24 UTC,,learner,,,male,US,36-45,university_degree,working_full_time,science_and_pharmaceuticals,US
747c2874-e552-4523-ba3e-b6ca4195a43d,2017-05-08 18:23:38 UTC,,learner,,,female,GB,36-45,university_masters,not_working,Unknown,GB
608307e9-d5bd-43e5-bb24-770a1518cdc8,2017-04-10 08:58:39 UTC,,learner,,,female,AU,56-65,university_degree,retired,Unknown,AU
8d55e816-ef80-40cb-b4d2-b034be5307de,2017-05-08 15:48:07 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
f7624c3b-edaa-4f7f-931b-7968e6458d48,2017-05-08 15:44:33 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
7c4358bf-c492-4866-ae20-6086c015f159,2017-05-08 12:36:58 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FR
a1cae1b6-d401-4294-8f8e-3146b0303187,2017-05-08 11:37:11 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
1e311a9c-a5c0-4da6-825c-a502560b0c22,2017-04-22 13:45:12 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
56a1fb4b-205c-4826-b738-53b704bb7c00,2017-05-08 20:08:33 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
aab9da58-762a-4f00-87c4-f64b6784cc73,2017-05-08 09:23:10 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NG
ea0c79de-7f4f-4046-b3bd-beb1b48b6304,2017-04-24 12:51:47 UTC,2017-05-08 05:32:14 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
aaf4b8b8-3646-4965-8aeb-40abb803e151,2017-05-07 09:09:30 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
67aa2584-ce40-402f-944c-5a8fb9e9dd9f,2017-05-07 17:40:35 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN
8bb2edab-0162-4ff5-b58a-f900dcdb9813,2017-02-24 06:08:35 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
a2adbcfb-bbb0-4edc-b2da-8865569aa026,2017-05-07 21:28:52 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NL
d4143a28-ab5e-43ed-91ad-809075ae219c,2017-03-27 09:14:02 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
9dd87a03-c286-4632-8910-4baac3622a65,2017-05-06 21:30:25 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
c28b1bda-4268-484f-9718-bc6742b148d0,2017-05-07 19:13:38 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US
35c716a0-5183-4a32-941d-4d36cea23951,2017-05-07 13:50:48 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IQ
36d052a7-7ae8-4282-94eb-8f10f3d06b79,2017-04-22 15:39:20 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN
8c28e989-ee94-41cc-b43b-4b62fc28f91d,2017-05-07 19:16:40 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,EG
6c0e4ea8-28d9-4595-8b74-d457e212c2b5,2017-05-07 03:55:33 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CN
3812012f-249c-4d64-8c29-3a3e34edba3f,2017-03-15 19:55:46 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
04b17250-2e57-4e0f-b9a6-a8234083c5f9,2017-05-06 14:04:35 UTC,2017-05-07 12:37:53 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
7c46d250-40f1-44f2-b505-43307a168779,2017-05-06 11:24:25 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OM
